temperature,DO,pH,conductivity,BOD
28.5,5.7,7.4,2323,6.3
28.4,5.9,7.6,462,4.9
28.4,7,7.7,107,3.8
28.9,6.2,7.4,299,5.1
28.2,5.9,7.8,33259,6.8
28.9,7.2,7.9,77,3.2
27,3.2,7.4,28018,46
27.9,6.8,7.8,350,2.6
26.8,6.9,7.5,133,3.2
27.2,6.9,7.5,143,3.4
26.8,6.1,6.9,609,4.2
26.9,6.8,7.4,129,3.2
26.8,6.7,7.4,130,3.2
26.9,6.6,7.4,130,5
26.9,6.7,7.5,120,3.6
26.2,7.1,7.9,139,3.2
27.4,6,7.4,13925,59.1
26.4,6.7,7.7,274,2.3
26.7,6.3,7.9,326,2.5
27.3,6.3,7.9,7392,2.4
27.4,6.3,7.7,12051,4.4
27.6,7,8.3,162,3.8
27.5,7,8.3,212,3.6
27.5,7.1,8.3,227,3.2
26.9,6.8,8.2,314,4.3
25.9,6.8,7.8,151,3.4
25.9,7,7.8,123,3.4
26,6.9,7.8,139,3.3
26.9,6.8,8.2,313,4
24.8,6.7,7.8,215,2.5
26.2,6.7,7.8,204,2.5
25.3,6.9,7.7,205,2.2
26.6,7.1,6.9,72,0.5
26.8,6.6,6.9,70,0.9
26.6,6.9,7.1,52,0.8
26.8,7.2,7,830,0.8
29.3,6.3,6.9,95,1.3
25.4,7.2,7.4,164,0.9
25.5,6.9,7.5,231,0.8
26.6,6.5,6.9,101,1.3
24.7,7.1,7.1,64,0.6
24.8,7.1,7.1,4600,0.6
28,7.5,7.2,52,0.6
27.4,2,6.8,265,2.4
26,5.6,7,12769,1.2
27.4,7.1,7,90,0.6
26.5,6.1,7,248,0.8
28.4,6,7,94,1.1
28.8,6.5,7.5,76,0.8
26.7,1.5,6.6,192,3.6
26.4,2,6.8,79,2.4
26.5,7.2,7.1,52,0.6
25.5,4,7.5,25964,1.1
28,7.2,7.3,54,0.9
28,0.8,7.1,1239,11.9
27.9,6.4,6.5,58,1.3
28.1,6.3,6.8,77,1.2
28.6,5.4,6.6,80,1.6
25.3,5.8,7.8,666,1
28.3,6.6,7.2,12768,1.1
26.1,7.7,7.2,44,1
24.3,7.1,7,27,0.4
26,7.3,7.2,59,0.6
28.5,7.8,7.1,119,0.7
26.6,7.3,7.1,54,1.3
26.8,7,6.6,104,1.5
28,6,7.2,92,0.7
26.2,6.8,6.6,48,0.5
28.5,5.6,7.1,20455,0.6
26.5,7,7,56,1.1
29.3,6.7,6.9,2531,0.5
29.3,6.2,7.2,15362,0.8
27,7.3,7.2,62,0.8
27.3,7.6,7.2,59,0.6
27.9,6.4,6.8,83,0.5
27.8,7,6.6,50,0.6
27.8,6.7,6.8,76,1.2
28.3,6.7,6.6,64,0.9
27.5,5.6,6.9,943,1.5
26.3,7.4,7,38,0.9
27,6.7,6.9,43,1
27.4,7.1,7.3,48,1.5
27,6.2,6.8,309,1.6
27.4,5.2,6.8,61,1.8
27.3,6.8,6.9,995,1.1
27,6.8,6.9,52,0.9
27.8,6.2,6.6,44,0.7
28.4,4.5,6.5,77,1.1
28.8,4,7,19279,0.9
28.8,7,7.4,69,1
25.9,6.5,6.8,58,0.5
28,4.6,6.9,98,0.6
28.5,6.6,7.3,12327,0.6
28.8,7.1,7,51,1
27.6,6.2,7.5,371,1.1
27.6,6.2,7.7,316,1.3
28.3,7.3,7.1,241,2.9
27.5,7.7,7.4,121,1.4
30.5,6.5,7.3,64,1
29.5,6.9,7.4,57,1
22.3,7.5,8,211,1.9
22.3,7.2,8,263,3.7
25,7,7.6,111,1.6
25.9,7.5,7.9,205,1.5
25.9,7.1,7.7,283,2.3
24.8,7.4,8,263,1.7
27.5,8.1,8,300,2.3
28,7.8,8,13103,2.1
25,7.4,8,207,1.5
25.8,7.2,8,198,1.4
26.8,6.5,8.1,729,1
31,3,8.1,1086,NAN
32,6.9,8.2,10910,NAN
31,6,8,17990,NAN
28,4.8,7.7,48500,NAN
28.4,6.3,7.6,830,1.8
24,7.4,7.6,104,1.2
NAN,6.9,7.8,440,3.4
24.8,5.8,7.2,732,8.5
24,5.6,7.4,1322,15.3
25,5.4,7.3,809,10
23.3,5.7,7.3,1103,14.3
25.8,5.7,7.5,906,24
25.8,3.5,7.4,1064,20
25.8,3.2,7.6,1197,27.3
26,4.7,7.3,1383,32.8
26,4.8,7.4,1063,16
24.4,5.3,7.5,1532,18.3
23.4,5.6,7.5,1269,34.5
24.3,5.4,7.4,1194,22
17.7,6.1,6.8,780,14.7
17,6.1,6.8,773,14.7
17.3,6,7,820,15.3
28,4.8,7.9,650,3.2
32,5,7.3,390,2.8
21.4,8.3,7.6,334,1
22.3,8.2,7.7,316,1.2
18.3,3.1,7.8,1261,195.4
22.8,8.3,7.6,304,1.2
21.8,5.5,7.6,743,7.6
26.9,5.1,7.8,657,1.7
27.3,5.3,7.8,623,1.7
19,8.7,7.1,252,4.9
26,5.1,7.2,17,1
19,10,7.4,157,0.6
21.8,5.9,7,164,1.6
22.3,6.1,7.3,141,1.4
22.3,5.6,7.1,427,1.4
22.3,4.7,7,527,1.9
23,5.5,8.6,116,4.5
23,6.8,6.8,160,1.5
23,7,7.4,47,1
23,7.3,7.8,116,1.2
22,5.5,7.3,179,1.2
22.3,4.7,7.4,220,1.6
27,4.9,7,180,1.2
30,5.8,7.8,367,6.2
23,5.8,7.4,249,1
23,6.2,6.9,182,2.1
22.7,5.5,7.7,356,1.2
23,5.1,6.9,190,2.3
23.5,5.2,7.1,164,2.8
23,4.6,7,188,2.8
23.5,5.6,6.6,165,1.9
23,1.9,6.8,484,15.3
23,2.5,7.1,424,16.7
22.5,5.5,6.9,118,2.8
23,6,7,100,4.2
22.5,4.9,6.9,93,3.6
20,4.8,7,167.1,2.8
22.7,5.4,7.2,211,1.1
26,6,7.5,231,1.1
19,5.6,7.1,319,4.4
22.5,5.7,6.9,261,2.3
18.9,9.9,7.1,163,1
21,6.1,7.6,163,4.5
22.5,5.1,6.9,170,2.5
23,3.8,7,192,3
24.4,7.8,7.2,139,1.9
21.8,6.5,3.1,489,6.1
20.8,7.3,7,162,2.2
25.2,7.8,7.1,136,1.9
24,7.7,7.1,205,7
23.4,8.1,7.1,267,1
23.4,8,7,278,1.1
23.2,6.9,7.2,268,1.1
23.3,6.8,7.1,286,1.3
28.4,6.6,7.8,149,1.8
28.6,6.3,8,164,3.4
28.5,6.6,7.9,196,4.4
29.9,5.6,7.5,15608,25
29.9,3.7,7.5,39503,13.5
29.8,4.7,7.6,46170,21.5
30.2,5.8,7.8,378,NAN
29.7,6.6,7.7,489,NAN
30.1,6.6,7.4,492,NAN
30.3,6.2,7.8,359,NAN
29.8,5.8,7.7,8757,NAN
26,5.1,8.1,533,3.7
27,7.1,8,555,2
27,6.8,8.2,26600,3.1
29.3,8.1,7.6,938,8.6
28.4,6.2,7.8,7778,2.7
32,NAN,7.2,1440,46
28.3,3.2,7.7,885,6.3
29.3,6.6,6.5,58,1.8
28.8,6.6,6.6,145,1.5
29,6.3,6.6,55,1.8
28.8,6.4,6.4,188,2
27.3,6.9,6.2,61,1.7
28.3,7.2,6.1,62,2.6
29,6.9,6.6,154,1.9
27.6,7,6.3,742,1.6
28.8,7.6,6.2,62,1.1
28.3,7.1,6.2,69,1.4
27.8,6.8,6,93,1.9
28.5,7.1,6.2,89,1.4
28.1,6.3,6.2,110,1.5
29,6.2,7,77,1.8
29.5,6.2,6.8,67,1.7
30.2,6.9,6.5,62,1.4
28.3,6.7,6.2,62,0.9
28.7,6.8,7.9,119,3.5
26,7,7.7,88,3.2
NAN,6.9,7.3,70,3.4
NAN,7.4,7.2,77,3
24,7,7.4,3113,4
32.1,5.5,8.1,363,8.4
30.3,6.9,7.5,86,3.6
30.1,6.4,7.4,621,37.8
28.8,5.2,7.9,42354,9.5
28.7,6.9,7.4,73,3.5
29,3.4,7.4,17842,31.5
28.5,7.4,8.1,254,2.2
27.7,6.7,7.4,125,3.7
28.6,6.6,7.5,129,3.9
27.1,6.1,7.3,515,5.1
27.1,6.6,7.4,122,3.6
27,6.5,7.3,131,3.8
26.8,6.7,7.3,130,3.4
26.8,6.6,7.4,95,3.7
26.4,6.8,7.7,143,3.6
22.1,6.3,7.5,10825,2.9
22.3,7.1,7.4,185,2.2
22,6.7,7.5,1439,2.5
22,6.6,7.5,185,2.4
22,6.7,7.8,3521,2.4
28.2,7.1,7.7,193,3.1
28.2,7.1,7.9,175,3.1
28.3,7.1,7.8,174,3.3
NAN,7.2,7.5,308,4
26.3,6.4,7.7,153,3.6
26.1,7,7.7,111,3.4
26,6.6,7.6,209,3.4
NAN,7.5,8.2,296,3.5
27.6,6.9,7.5,119,2.2
27.6,6.8,7.7,116,2.3
27.3,7,7.7,118,2.1
27.4,5.2,6.6,453,1.5
27.3,7.2,6.8,35,1.1
26,7,7.1,62,0.5
26.2,7,7.1,5228,0.6
27.5,7.2,7,51,0.6
28.1,6.7,6.9,62,1.2
28.2,6.5,6.5,118,1.1
27.6,0.6,7,1787,14.1
28,6.6,6.8,49,0.9
24.3,6.8,7.3,67,0.6
25.8,7.3,7.4,104,0.6
27.8,6.5,6.7,39,1.2
26.3,7.2,6.5,45,0.9
28.5,7.4,6.9,65,0.9
29.3,6.5,6.5,60,1
27.6,6.6,6.9,57,0.9
28.1,7.1,7,84,1
27.8,7.5,6.8,56,1.3
28.1,5.4,6.7,100,0.9
26.6,7,6.9,66,0.7
27.8,7.1,6.9,75,0.6
29.3,6.5,6.7,70,0.9
28,6.7,6.6,102,0.8
23.8,7.1,6.8,27,0.6
26.3,6.9,7.1,46,0.5
27.9,6.7,6.8,8291,1
28.4,6.2,7,12342,1.4
27.1,7.5,7.3,53,0.8
28.5,7.6,7.3,62,1
28.1,2.2,6.4,625,2.3
26.4,7.4,6.7,55,0.7
27.1,7,6.8,103,0.7
26.9,5.3,6.9,109,1.3
28.6,6.3,7,1392,0.7
27.9,6.7,7,71,0.5
28.4,6,6.4,57,1.4
29,4.2,6.6,93,1.7
28.8,5.1,6.7,88,1.9
27.8,5.3,6.4,4912,1.1
28.5,6.9,7,84,0.9
26,2.8,7.4,18256,1.6
26.5,5.3,7.2,9753,0.9
28.4,6.5,5.8,67,0.4
28.1,6.9,6.1,86,0.6
26.8,7,6.6,59,0.8
28.6,5.6,6.4,7904,1
28.1,6.8,6,55,0.5
29,6,5.9,105,1
28.8,6.3,7,2759,1.4
28,6.5,7.6,312,1.1
27.4,6.4,7.7,203,1.1
28.8,7.3,7.3,308,4.2
30.8,6.8,7.8,23761,1.9
28,7.5,8.1,228,2.1
27.3,7.7,8.1,243,1.6
29,7.6,7.9,191,1.4
24.5,7.5,7.9,237,1.8
24.8,7.4,7.7,865,1.9
25.3,6.7,6.9,132,1.2
26.8,7.1,7.9,211,1.4
29,6.7,7.9,182,1.1
29,7.4,8.8,434,2
28,6.4,8.3,565,2
28,6.9,8.8,238,4
28,6.3,6.6,425,NAN
24.8,7.4,7,75,1.6
27.2,7.2,6.8,70,1.8
27.3,6.6,7,119,2.5
28.4,6.9,7,236,1.9
26.8,7,6.9,73,1.7
25.2,7.2,6.9,75,1.5
28.4,6.9,7.2,385,2.3
28.2,6.4,7.6,860,3.3
24,7.6,6.6,166,2
29,6.9,7.2,308,1.9
25,6.8,6.7,247,2.1
25,6.6,6.9,359,2.3
15,6.5,7.6,450,18
23.5,6.1,7.8,825,16
NAN,6.5,8.4,240,2.7
15,6.9,7.8,480,18
20.3,5.6,6.7,807,10.8
20,4.9,6.8,1097,26.5
20,4.9,6.6,834,13.1
19.8,5.2,6.7,1027,28
32.7,3.3,7.9,897,1.3
34.5,4.9,8,510,1.2
19.8,5,6.9,1172,25.5
27,4.8,7.8,599,534.5
20.5,4.7,6.7,906,25.3
20.5,5.4,6.8,883,15.4
20.5,5.1,7.6,1069,26.5
21,4.2,7.6,1168,31.8
20.3,4.8,6.6,905,15
20,4.5,6.6,1269,30.3
20,4.7,6.7,1216,26.8
21.3,5.2,7.3,465,0.9
22.1,7.8,8.2,410,1.2
22.33,6.7,8.12,396,1.53
21.5,8,8.1,403,0.8
24,4.88,7.94,149,2.65
22,5.67,7.02,153,1.67
24,6,6.9,300,2.23
23,6.15,7.45,234,2
23,2.7,7.35,357,8.45
24,2.98,7.52,422,5.53
24,5.48,7.42,180,2.08
23,5.13,7.46,162,2.23
25,7.85,7.13,254,6.68
24,6.58,6.5,655,5.93
20,7.58,7.03,191,2.08
24,8.23,7.05,137,1.4
25,8.23,7.38,143,1.55
22,6.6,7.3,210,1.3
22,6.8,7.2,220,1.5
23,6.8,7,317,1.5
23,6.4,6.7,323,1.4
28,6.5,7.7,146,1.6
28,6.2,7.7,176,3.5
29,6.3,8,198,4.2
28,7.3,7.4,332,0.7
29,6.5,7.5,21417,16.4
30,6.1,7.3,11855,12.5
30,6.3,7.4,24506,136
30,5.9,7.5,25343,56.5
30,6.6,7.8,371,NAN
30,6.2,7.4,368,8
30,6.7,7.7,354,4
33,6.8,8,374,21
30,5.9,7.4,7173,12
28,7.3,7.4,332,0.7
30,5.7,8,601,7.4
30,4.7,8.3,753,3.7
28,5.8,7.8,16177,3
30,2.5,7.5,1108,6
30,6.1,8.1,14921,3.2
30,0.6,7.1,3115,36.5
27,3.2,7.8,5073,5.8
30,4.2,8.2,901,6.7
28,2.9,8.3,11405,5.6
29,5,7.7,47156,3.1
31,7.2,6.3,14100,1.6
29,5.5,7.8,401,1.3
30,6.2,6.9,11000,1.3
29,6.5,6.8,30190,2.3
24,8.1,7.7,7400,2.6
27,7.8,6.4,609,2.3
27,7.8,6.4,90,2
28,7.2,6.5,8240,1.6
27,4.2,7.6,5543,0.7
26,6.5,6.4,505,1.6
28,7.4,6.9,3844,2
28,5.4,7,7692,1.7
27,6.6,7.2,692,1.9
29,5.1,7.5,NAN,2.3
29,7.3,6.8,20640,2.5
28,7.2,6.9,5350,2.2
28,7,6.8,4800,3
28,5.5,7.7,8092,7.6
29,6.9,7.6,136,3.8
29,6.9,7.7,120,3.9
28,6.7,8,111,3.6
26,6.9,7.3,229,3.8
29,6.8,7.5,171,3.8
29,6.9,7.3,183,2.2
34,3.3,7.6,29464,19.4
32,5.4,7.2,925,11.7
22,6.2,7.2,13848,2.5
26,7,7.4,225,3.8
35,6.6,8.1,102,3.9
28,8.1,6.3,1414,1.1
27,6.9,6.8,41,0.8
27,6.9,6.9,78,0.5
26,6.7,6.9,5507,0.6
27,7.3,7,49,0.7
28,6.7,6.7,67,1.3
29,6.5,6.6,109,1.2
26,0.7,6.6,4235,12.5
27,6.9,6.5,108,1
28,6.4,6.6,48,1
26,7.2,6.7,109,0.8
29,6.8,7.1,61,1.5
28,6.1,6.7,244,0.9
27,6.8,7,62,0.6
28,7.1,7,59,0.8
27,7.4,6.6,64,0.7
26,6.4,7,79,0.8
26,7.2,6.7,73,0.9
27,6.2,7,83,0.6
29,6.1,6.7,55,1.4
28,6.6,6.5,79,0.8
26,6.9,6.7,198,0.3
27,7.3,6.5,44,0.5
28,6.2,6.6,15738,1
29,5.2,7.1,18459,1
28,7.4,7,45,1.1
28,7.6,6.7,52,1.1
28,2.9,6.3,841,2
26,6.6,6.7,72,0.7
26,6.4,6.7,122,0.7
26,5.4,6.6,102,0.9
27,6.2,7,5656,0.9
27,6.9,7.1,71,0.5
28,6.7,6.5,55,0.9
28,5.7,6.7,127,1.9
28,6,6.9,77,1.8
28,5.2,6.1,4968,1.1
28,7.4,6.4,78,1.2
27,3.5,7.3,20430,1.3
27,6,7.1,13257,1.1
28,6.4,6.1,62,0.7
27,6.6,6.3,59,1
27,7.1,6.4,59,0.9
28,6.4,7.1,7035,0.8
28,7.3,6.2,51,0.9
29,6.8,6.5,80,0.8
28,6.4,6.7,3131,2.2
27,5.8,6.5,59,1.5
28,5.2,7.2,19885,1.2
27,7.7,6.8,67,0.9
28,5.7,7.2,19085,1.4
25,6.7,6.3,177,1.2
28,6.4,6.4,4165,1.2
27,6.2,7.6,498,0.4
27,6.8,7.5,119,0.4
27,7.1,7.6,161,0.5
28,5.9,6.7,70,1.7
28,5.8,6.5,864,1.5
29,4.7,6.6,69,1.8
28,6.5,6.6,1204,1.2
28,1.4,6.2,129,2.2
28,1.5,6.3,73,1.5
28,7,7.5,226,1.1
30,7.7,8.1,330,1.9
30,7.5,7.9,20786,1.3
28,7.2,8.2,315,1.7
28,7.6,8.1,301,1.5
28,7.3,8,225,1.3
27,7.4,8,238,1.9
27,7.2,7.7,835,2
29,7.2,7.8,169,1.3
28,7,8.1,240,1
29,7.4,8.1,153,1.7
33,7.7,7.8,220,4
33,7.1,7.6,406,3
33,6.8,7.4,309,7
28,5.1,8.4,4120,3
21,7.6,7.9,446,2.6
24,7.4,6.8,337,1.3
28,7.5,6.7,180,1.3
28,6.9,6.8,127,2.4
30,7,7,305,1.5
27,7.2,6.7,323,1.6
26,7.4,6.7,364,1.6
29,7.5,7.2,473,2.1
26,6.7,7.4,544,2
27,7,7.2,286,9.5
28,6.4,7,307,1
29,6.6,7.1,250,1.5
28,6.5,7.9,566,0.9
22,6,7.3,755,6
21,4.9,7.4,892,14
22,6.4,7.1,1085,8.5
20,5.6,8.1,905,11.5
22,5,6.7,813,7.5
21,5.6,7.3,964,14
20,5.7,7.4,968,9.5
21,5.3,7.4,779,10
21,4.8,7.4,825,19
23,2.9,7.3,1035,13
21,4.5,7.2,885,10.5
20,4.8,7.5,896,10
24,3.1,7.6,1130,11.5
25,3.1,7.6,1000,10
28,1.9,8.4,2187,354
28,7,7.8,350,2.5
16,7.2,6.2,930,8
22,5.475,7.82,721.5,6.9
23,4.8,7.3,260,0.8
23,7.6,7.5,307,1.5
23,8.4,7.4,106,1.4
23,9,7.8,221,1.3
25,8.7,7.4,318,1.5
25,1.9,7.3,537,9.9
25,7.7,7.3,550,10.4
25,7.9,7.6,185,1.3
26,8,7.6,202,2.5
25,7.4,7.6,214,1.8
23,8.3,7.7,185,2
18,9.6,7.1,225,4.4
19,8.8,7.2,131,0.9
24,7.4,7.8,272,0.9
24,7.5,7.8,327,1.2
26,8.1,7.8,365,1.3
26,7.9,7.5,350,1.8
28,6.6,7.7,143,1.3
29,6.3,7.6,164,2.8
28,5.7,7.8,170,3.4
21,6.4,7.025,187.63,3.175
25,8.35,7.125,110.75,1.525
24,8.45,6.95,104.25,1.2
NAN,NAN,7.6,281,NAN
25,7.2,7.8,262,0.28
25,4.9,7.4,10362,9.7
27,5.1,7.8,530,2.73
28,6,8.2,612,2.28
30,6.1,8.1,8782,1.9
27,1.1,7.8,1076,7.67
29,6.8,8,3431,2.8
25,4.5,7.6,1161,7.43
25,6,7.3,8838,5.58
30,0,7.1,3080,46
28,2.8,7.9,663,5.93
29,5.6,8,1265,2.13
28,4.1,7.9,4491,16.5
29,6.3,7.9,43983,1.83
30,6.6,7.8,37,2.25
28,6.8,7.1,11,1.65
27,6.5,7.5,28,4.55
28,7.1,8,49,1.25
26,7.6,7.3,93,0.95
26,7.4,7,67,2.45
27,7,7.3,89,1.5
29,5.4,7.3,75,1.8
28,6.7,7.2,95,1.4
28,6.8,6.9,58,1.9
25,5.6,6.8,67,1.9
28,5.2,7.2,29,1.65
26,6.2,7.1,146,2.1
31,3.6,7,29,2
30,6.8,7.2,1370,2.6
28,8.1,7.1,335,3.2
26,6.3,7.6,119,3.67
27,6.4,7.6,109,3.4
27,5.9,7.2,119,4.04
25,5.3,7.7,109,3.25
26,6,7.8,301,5.43
22,6.6,7.2,131,4.5
22,6.8,7.2,110,3.9
27,6.7,7.6,109,4.13
29,5.2,7,478,16.3
21,6.9,6.6,291,1.96
32,0.7,7.3,12697,45.6
23,6.8,6.6,6232,2.13
29,6.2,6.5,1638,1.5
28,7.3,6.6,36,0.6
28,6.4,6.7,41,1
28,5.1,6.8,52,1.6
28,6.8,6.7,183,1.3
27,6.3,6.3,115,0.9
28,7.2,6.7,455,1.1
27,6.8,6.9,80,0.4
27,6.8,7,4515,0.4
29,7.7,7.2,47,1
29,7.1,6.8,57,1.5
29,6.6,6.3,148,1.2
26,1.8,6.8,2012,5.5
26,6.7,6.2,40,0.6
26,5.8,6.3,65,1.1
26,5.1,6.3,50,1
26,6.6,6.2,42,0.6
27,6.6,6.4,43,0.7
27,6.7,6.4,50,0.5
26,6.6,6.3,46,0.6
27,5.9,6.4,54,0.7
27,7.6,6.7,55,0.7
27,6.5,6.7,72,0.8
29,7.3,7.4,71,0.7
27,6.3,6.7,79,0.7
26,6.9,6.6,33,0.4
27,6.8,6.7,46,0.4
29,5.9,7.1,6666,0.7
28,6.4,7.1,17771,1
28,7.3,6.7,62,0.9
28,7.6,6.6,61,0.5
30,2.4,6.7,221,2.1
27,7.1,6.8,89,1.2
27,6.4,6.7,110,0.5
27,3.5,6.9,105,0.7
28,7.4,7.3,155,0.8
28,6.8,6.9,77,0.9
27,5.5,6.5,75,1.9
31,5.4,6.5,102,4
30,4.8,6.8,90,1.1
28,5.8,6.3,87,0.7
27,7.3,6.6,57,0.4
28,5.8,7.5,18291,0.8
28,6.2,6.7,2497,0.5
27,7.3,6.1,45,0.7
27,7.6,6.3,39,0.5
25,7.7,6.6,31,0.3
28,5.4,5.9,595,0.8
28,7.4,6.1,30,0.9
28,6.6,5.9,37,0.7
28,6.5,6.5,1135,0.7
27,7.2,5.9,39,0.8
29,6.3,6.5,925,1.1
27,7.6,6.6,50,0.6
27,7.3,6.5,64,1.4
27,7.5,7,74,0.8
26,4.4,7.3,428,0.4
27,6.8,7,169,0.4
29,1.7,6.2,181,3
29,3,6.1,80,2
28,6.9,7.8,469,0.89
32,7.7,8.1,266,1.83
32,6.8,7.8,16468,1.65
28,7.5,8.2,233,2.5
26,7.6,8.1,233,1.35
26,7,7.6,593,0.25
25,7.6,6.6,118,1.15
27,6.8,6.6,179,1.88
28,6.8,6.7,172,2.14
28,6.9,7.1,260,1.78
27,7.3,6.6,94,1.27
26,7.4,6.7,88,1.03
28,7.2,7.2,439,2.28
27,6.8,7.6,749,2.25
26,6.9,7.3,252,4.33
29,7,7.3,46,1
31,7,7.3,40,1
30,7.7,8.1,195,1.1
23,8,8.2,572,0.5
24,3.8,7.8,1424,155.6
23,4.9,7.8,704,3.5
20,5.9,7.2,703,5.4
21,5.3,7.4,1095,27
30,6.7,6.9,1094,17.1
30,6.2,7,1312,22.3
21,5.7,7.3,732,10.7
21,5,7.2,983,26.1
20,5,7.3,748,7.4
20,5.1,7.2,760,13.5
21,4.5,7.2,856,23.8
21,4.4,7.2,1184,18.1
20,4.5,7.4,1186,22.7
21,5.2,7.5,1036,28.5
21,5.5,7.6,973,27.8
21,5.6,7.6,951,25.8
25,6.4,7.9,378,4.1
31,6.8,7,970,25.3
21,5.4,7.8,438,1.7
27,7.9,6.7,120,1.2
26,6.2,7.3,135,1.8
27,8.2,7.6,176,1.9
28,6.6,7.4,112,1.2
26,7.9,7.8,196,0.8
29,9,8,269,1.8
28,NAN,8,698,NAN
30,9.6,7.6,633,NAN
27,3.2,6.8,389,26
28,5.5,7.5,375,24
19,5,3.2,630,7
26,7,7.8,122,0.65
26,7.2,7.8,130,0.93
25,6.6,8,151,0.98
25,6.7,7.9,188,1.03
28,6.1,7.7,120,1.36
29,5.4,7.3,141,2.67
28,5.8,7.8,161,2.93
NAN,NAN,7.6,253,NAN
25,7,7.7,448,0.4
25,4.8,7.5,20360,8.8
27,4.9,7.7,904,3.6
28,6.4,8,477,2.4
29,6.7,7.9,14111,2.9
28,5.7,7.6,868,4.2
30,6.2,8,899,3.1
26,4.8,7.6,14426,10.4
27,6.2,7.4,29920,3.6
27,NAN,7.5,5414,359
27,4.2,7.8,589,4
30,6.8,7.5,2870,2.5
29,6.5,6.9,1690,1.5
29,6.5,7.1,3110,1.6
29,6.4,7.7,44000,2.3
27,7.2,7.2,70,1.6
28,7.2,6.8,60,2.1
28,7.4,7.1,80,1.4
28,7.2,6.9,80,1.3
29,7.4,7,66,2
28,6.3,6.6,66,1.6
26,6.4,7.3,103,4
27,6.7,7.4,103,3.9
28,6.6,7.5,97,3.7
28,5.7,7.2,531,5.3
25,6.4,7.1,113,3.9
25,6.6,7.2,88,3.9
22,6.2,7.3,117,4
28,5.5,6.6,1314,1.7
27,7.5,6.8,32,0.8
28,6.7,6.8,42,1
28,6.9,6.7,73,0.5
28,6.8,6.9,7920,0.5
29,7.4,7.2,49,1.1
28,7.2,6.8,58,1.5
29,6.8,6.6,115,2
28,0.8,6.8,2156,7.4
26,7.1,6.1,34,0.6
26,5.9,6.2,52,0.5
26,5.1,6.2,55,1.1
26,6.7,6.2,43,0.7
26,5.8,6.2,34,0.6
26,6.4,6.2,39,0.7
26,6.6,6.3,41,0.6
26,5.4,6.2,47,0.7
28,6.7,6.7,80,1.3
27,6.4,7,112,1.4
29,6.3,7.1,83,1
28,6.2,6.5,95,0.8
28,6.9,6.4,41,0.5
27,6.8,6.5,51,0.5
28,6.6,6.9,11654,0.7
28,7,7.2,11962,0.3
28,7.5,6.9,52,0.5
28,7.4,6.8,68,0.3
29,2.8,6.6,1239,2.3
28,6.2,7.6,380,0.5
30,7.9,7.9,382,2.1
28,8.1,8,21030,1.7
30,7.2,7.7,244,1.2
32,6.7,7.6,231,1.5
29,7,8.1,637,3.5
26,7.5,6.5,65,1
28,6.8,6.5,88,0.9
29,6.8,6.5,128,1.8
32,7.8,7.2,250,1.9
28,7.2,6.4,71,1.2
27,7.4,6.5,71,1.5
31,7.6,7.1,428,2.5
28,6.8,7.2,856,2.1
27,7.3,7.3,152,2
28,6.9,7.2,58,1
29,7,7.2,56,1
22,7.9,7.9,385,2.5
18,3.9,7.9,2422,74.8
24,4.9,7.6,972,19.6
20,7.4,7.5,413,2.1
21,6.1,7.8,632,8.1
24,4.9,8.1,852,26.3
26,4.5,8.3,996,25.3
21,6.7,7.6,425,7.4
21,6.3,7.7,619,7.3
22,6.4,7.7,439,4.2
22,6.5,7.7,686,9.8
21,6.4,7.8,754,13.8
22,6.3,7.7,615,8.2
21,6.2,7.6,457,3.7
21,6,7.8,690,9.6
21,5.9,7.8,692,11.1
21,5.9,7.7,699,10.4
22,6.5,8.2,1315,2.2
25,6.6,8.2,895,26.3
29,NAN,7.2,NAN,50
30,NAN,7.4,NAN,50
29,1,7.3,NAN,49.7
19,5.6,7.4,168,2.2
25,6.7,7.9,135,0.4
25,6.5,7.9,195,0.6
24,7.3,7.8,219,0.5
24,7.7,7.9,227,0.4
23,6.2,7,132,1.6
23,6.4,7.4,137,2.1
23,6.4,7.6,200,1
23,7,7.6,210,2.4
23,3.6,7.2,249,4.9
23,3.7,7.5,224,4
24,7.1,7.3,156,2
23,7.1,7.2,127,2
22,5.8,7.6,258,1.7
24,8.4,7.9,383,0.8
20,8.1,7.2,221,5.4
18,6.1,3.1,738,5.5
16,8,7,164,1.7
19,5.4,7.2,153,1.7
18,7,7,161,1.7
27,5.2,7.4,120,1.4
27,4.7,7.4,139, 
27,5.4,7.4,128,3
23,6.9,7.2,233,1.5
NAN,NAN,7.61,168.2,NAN
25,7.102,7.945,307.5,1.525
25.5,3.487,7.015,25950,9.2
22,5.35,7.935,735,4.7
25.5,7.05,7.995,535,4.7
29.667,6.5,8.14,16410,5.3
25.5,NAN,7.885,896.5,15
29,5.6,8.173,3660,4.6
26.5,6.085,7.695,933,3.2
26.5,6.055,7.605,6715,4.3
28,NAN,7.215,15580,431.5
27,7.93,8.32,2160,1.46
25.667,4.9,7.943,504.7,3.1
27.75,6.625,7.725,149.3,2.175
27.75,5.175,6.95,464,1.5
30,6.4,7.45,142.8,2.025
28.25,6.2,7.9,218,1.575
26.667,7.4,6.733,344.3,1.7
28.75,7.6,6.775,213.3,1.3
28,7.35,7.1,214.8,1.425
28.25,7.675,6.875,103.3,1.025
27.25,7.125,7.55,418.3,1.725
